Power,Time,Temperature,Fin Type_Round,Fin Type_Square,Fin Type_Triangular,Configuration_Inline,Configuration_Staggered,PCM_Paraffin,PCM_RT-35,PCM_RT-44
8,42,51.11,0,1,0,1,0,1,0,0
8,44,51.63,0,1,0,1,0,1,0,0
8,46,51.97,0,1,0,1,0,1,0,0
8,48,52.48,0,1,0,1,0,1,0,0
8,50,52.83,0,1,0,1,0,1,0,0
8,52,53.17,0,1,0,1,0,1,0,0
8,54,53.34,0,1,0,1,0,1,0,0
8,56,53.6,0,1,0,1,0,1,0,0
8,58,53.95,0,1,0,1,0,1,0,0
8,60,54.2,0,1,0,1,0,1,0,0
8,62,54.46,0,1,0,1,0,1,0,0
8,64,54.72,0,1,0,1,0,1,0,0
8,66,54.98,0,1,0,1,0,1,0,0
8,68,55.15,0,1,0,1,0,1,0,0
8,70,55.32,0,1,0,1,0,1,0,0
8,72,55.58,0,1,0,1,0,1,0,0
8,74,55.84,0,1,0,1,0,1,0,0
8,76,56.01,0,1,0,1,0,1,0,0
8,78,56.27,0,1,0,1,0,1,0,0
8,80,56.52,0,1,0,1,0,1,0,0
8,82,56.7,0,1,0,1,0,1,0,0
8,84,56.87,0,1,0,1,0,1,0,0
8,86,57.04,0,1,0,1,0,1,0,0
8,88,57.3,0,1,0,1,0,1,0,0
8,90,57.47,0,1,0,1,0,1,0,0
8,0,25.0,0,1,0,0,1,1,0,0
8,2,27.48,0,1,0,0,1,1,0,0
8,4,29.8,0,1,0,0,1,1,0,0
8,6,31.77,0,1,0,0,1,1,0,0
8,8,33.66,0,1,0,0,1,1,0,0
8,10,35.3,0,1,0,0,1,1,0,0
8,12,36.76,0,1,0,0,1,1,0,0
8,14,38.13,0,1,0,0,1,1,0,0
8,16,39.42,0,1,0,0,1,1,0,0
8,18,40.63,0,1,0,0,1,1,0,0
8,20,41.83,0,1,0,0,1,1,0,0
8,22,42.86,0,1,0,0,1,1,0,0
8,24,43.89,0,1,0,0,1,1,0,0
8,26,44.92,0,1,0,0,1,1,0,0
8,28,45.95,0,1,0,0,1,1,0,0
8,30,47.07,0,1,0,0,1,1,0,0
8,32,48.1,0,1,0,0,1,1,0,0
8,34,49.13,0,1,0,0,1,1,0,0
8,36,49.99,0,1,0,0,1,1,0,0
8,38,50.94,0,1,0,0,1,1,0,0
8,40,51.63,0,1,0,0,1,1,0,0
8,42,52.14,0,1,0,0,1,1,0,0
8,44,52.74,0,1,0,0,1,1,0,0
8,46,53.26,0,1,0,0,1,1,0,0
8,48,53.69,0,1,0,0,1,1,0,0
8,50,54.12,0,1,0,0,1,1,0,0
8,52,54.46,0,1,0,0,1,1,0,0
8,54,54.8,0,1,0,0,1,1,0,0
8,56,55.15,0,1,0,0,1,1,0,0
8,58,55.58,0,1,0,0,1,1,0,0
8,60,55.92,0,1,0,0,1,1,0,0
8,62,56.27,0,1,0,0,1,1,0,0
8,64,56.52,0,1,0,0,1,1,0,0
8,66,56.78,0,1,0,0,1,1,0,0
8,68,57.13,0,1,0,0,1,1,0,0
8,70,57.47,0,1,0,0,1,1,0,0
8,72,57.81,0,1,0,0,1,1,0,0
8,74,58.16,0,1,0,0,1,1,0,0
8,76,58.41,0,1,0,0,1,1,0,0
8,78,58.76,0,1,0,0,1,1,0,0
8,80,59.1,0,1,0,0,1,1,0,0
8,82,59.45,0,1,0,0,1,1,0,0
8,84,59.79,0,1,0,0,1,1,0,0
8,86,60.13,0,1,0,0,1,1,0,0
